Sequence ID,gb,knn,log,nb,rf,svm,tree
NP_414542.1 thr operon leader peptide,0,0,1,0,0,1,0
NP_414543.1 fused aspartate kinase/homoserine dehydrogenase 1,1,1,1,1,1,1,1
NP_414544.1 homoserine kinase,1,0,1,1,0,1,0
NP_414545.1 threonine synthase,0,0,0,1,0,0,0
NP_414546.1 DUF2502 domain-containing protein YaaX,1,1,0,0,0,0,1
NP_414547.1 peroxide stress resistance protein YaaA,1,0,1,0,0,1,0
NP_414548.1 putative transporter YaaJ,1,1,1,1,1,1,1
NP_414549.1 transaldolase B,1,0,1,0,1,1,0
NP_414550.1 molybdopterin adenylyltransferase,1,0,1,0,1,1,0
NP_414551.1 acetate/succinate:H(+) symporter,1,1,1,1,1,1,1
NP_414552.1 putative enzyme-specific chaperone YaaW,1,1,0,0,0,1,0
NP_414554.1 DUF2541 domain-containing protein YaaI,1,1,1,1,0,1,0
NP_414555.1 chaperone protein DnaK,1,0,1,0,1,0,1
NP_414556.1 chaperone protein DnaJ,1,0,1,0,0,0,0
NP_414557.1 IS186/IS421 transposase,1,0,1,0,0,1,0
NP_414559.1 regulatory protein MokC,1,0,0,0,1,0,1
NP_414560.1 Na(+):H(+) antiporter NhaA,1,1,1,1,1,1,1
NP_414561.1 DNA-binding transcriptional activator NhaR,0,0,0,0,0,0,0
NP_414562.1 IS1 protein InsB,0,0,0,0,0,0,0
NP_414563.1 IS1 protein InsA,1,1,1,0,0,1,0
NP_414564.1 30S ribosomal subunit protein S20,0,0,0,0,0,0,0
NP_414565.1 DUF2575 domain-containing protein YaaY,1,1,0,1,1,1,1
NP_414566.1 bifunctional riboflavin kinase/FMN adenylyltransferase,1,0,1,0,0,1,0
NP_414567.1 isoleucine--tRNA ligase,1,0,1,1,0,0,0
NP_414568.1 lipoprotein signal peptidase,1,0,1,1,0,1,0
NP_414569.1 peptidyl-prolyl cis-trans isomerase FkpB,1,0,1,0,1,1,0
NP_414570.1 1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase,0,0,0,0,0,0,0
NP_414571.1 ribonucleoside hydrolase RihC,1,1,1,1,1,1,1
NP_414572.1 4-hydroxy-tetrahydrodipicolinate reductase,1,0,1,0,0,1,0
NP_414573.1 carbamoyl phosphate synthetase subunit alpha,0,0,0,0,0,0,0
NP_414574.1 carbamoyl phosphate synthetase subunit beta,1,0,1,1,0,0,0
NP_414576.4 DNA-binding transcriptional activator CaiF,0,0,0,0,0,0,0
NP_414577.2 putative transferase CaiE,0,0,0,0,0,0,0
NP_414578.2 crotonobetainyl-CoA hydratase,0,0,0,0,0,0,0
NP_414579.4 carnitine-CoA ligase,1,1,1,1,1,1,1
NP_414580.1 gamma-butyrobetainyl-CoA:carnitine CoA transferase,1,0,1,1,1,1,0
NP_414581.1 crotonobetainyl-CoA reductase,1,0,1,1,0,1,0
NP_414582.1 L-carnitine:gamma-butyrobetaine antiporter,1,1,1,1,1,1,1
NP_414583.2 putative electron transfer flavoprotein FixA,1,0,1,0,1,1,0
NP_414584.1 putative electron transfer flavoprotein FixB,1,1,1,1,1,1,0
NP_414585.1 putative oxidoreductase FixC,1,0,1,1,1,1,1
NP_414586.1 putative ferredoxin FixX,0,0,0,0,0,0,0
NP_414587.1 putative transporter YaaU,1,1,1,1,1,1,1
NP_414588.1 regulator of KefC-mediated potassium transport and quinone oxidoreductase,1,1,0,0,1,1,1
NP_414589.1 K(+) : H(+) antiporter KefC,1,1,1,1,1,1,1
NP_414590.1 dihydrofolate reductase,1,0,1,0,0,1,0
NP_414591.1 diadenosine tetraphosphatase,1,1,1,0,0,1,0
NP_414592.1 DUF525 domain-containing protein ApaG,1,1,1,0,1,1,0
