Sequence ID,gb,knn,log,nb,rf,svm,tree
NP_001018029.1 Coq21p,0,1,1,0,0,1,0
NP_001018030.1 L-serine/L-threonine ammonia-lyase CHA1,1,0,1,1,1,0,0
NP_001018031.2 Adf1p,0,0,0,0,0,0,0
NP_001018032.1 uncharacterized protein YCR095W-A,0,1,0,0,0,1,0
NP_001018033.3 uncharacterized protein YGR161W-C,1,1,1,0,1,1,1
NP_001027023.1 Nag1p,1,1,1,1,1,1,1
NP_001027534.1 Mco8p,1,1,1,1,1,1,1
NP_001032571.3 Min7p,1,1,1,1,1,1,1
NP_001032572.1 uncharacterized protein YPR145C-A,0,0,0,0,0,0,0
NP_001032573.1 uncharacterized protein YCL048W-A,1,1,1,1,1,1,1
NP_001032574.1 uncharacterized protein YDL007C-A,0,1,0,0,1,1,1
NP_001032575.1 Cox26p,1,1,1,1,1,1,1
NP_001032576.1 Wip1p,1,1,1,0,0,1,0
NP_001032577.1 Cmi8p,0,0,0,0,0,0,0
NP_001032578.1 uncharacterized protein YGL194C-A,1,1,0,1,1,1,1
NP_001032579.1 uncharacterized protein YIL102C-A,1,1,1,1,1,1,1
NP_001032580.1 Dpc7p,1,0,1,0,0,1,0
NP_001032581.1 Min9p,1,0,1,0,1,1,1
NP_001032582.1 uncharacterized protein YLR146W-A,0,1,1,0,0,0,0
NP_001035220.1 Hed1p,0,0,1,0,0,0,0
NP_001073292.1 uncharacterized protein YER190C-B,1,1,0,1,1,1,1
NP_001091638.1 Min8p,1,1,1,0,1,1,1
NP_001106172.4 Dpc13p,0,0,0,0,0,0,0
NP_001106949.1 uncharacterized protein YPR170W-B,1,1,1,1,1,1,1
NP_001254791.1 uncharacterized protein YNR077C,1,1,0,1,1,1,1
NP_001257667.1 uncharacterized protein YHR173C,1,1,1,1,1,1,1
NP_001257668.1 Mnc1p,0,1,0,0,1,0,0
NP_001257669.1 Meo1p,1,0,1,0,1,1,1
NP_001257670.1 uncharacterized protein YDL022C-A,1,1,1,1,1,1,1
NP_001257671.1 uncharacterized protein YDL009C,1,1,1,1,1,1,1
NP_001257672.1 uncharacterized protein YEL068C,1,1,0,0,0,0,0
NP_001257673.1 uncharacterized protein YER084W,1,1,0,0,1,1,1
NP_001257674.1 Css2p,1,1,1,1,1,1,1
NP_001257675.1 uncharacterized protein YGL204C,1,1,1,1,1,1,1
NP_001257676.1 uncharacterized protein YGR018C,0,0,0,0,1,0,1
NP_001257677.1 uncharacterized protein YGR050C,1,1,1,1,1,1,1
NP_001257678.1 uncharacterized protein YIL163C,0,0,0,0,0,1,0
NP_001257679.1 uncharacterized protein YIL105W-A,0,0,0,1,1,0,1
NP_001257680.1 uncharacterized protein YIL054W,1,1,1,1,1,1,1
NP_001257681.1 uncharacterized protein YIR020C,1,1,0,1,1,1,1
NP_001257682.1 uncharacterized protein YJL077W-A,0,1,0,0,0,0,0
NP_001257683.1 uncharacterized protein YJR146W,1,1,1,1,1,1,1
NP_001257684.1 Mmo1p,1,1,1,1,1,1,1
NP_001257685.1 uncharacterized protein YLR358C,0,1,0,1,1,0,1
NP_001257686.1 uncharacterized protein YMR316C-A,0,0,0,1,1,1,1
NP_001257687.1 uncharacterized protein YNL184C,1,0,1,0,1,1,0
NP_001257688.1 uncharacterized protein YNL143C,1,0,1,0,1,1,1
NP_001257689.1 uncharacterized protein YNL140C,0,0,0,0,0,0,0
NP_001257690.1 uncharacterized protein YOR105W,1,1,0,1,1,1,1
NP_001268465.1 gag-pol fusion protein,1,0,0,1,0,0,0
NP_001288277.1 Fmp49p,1,0,0,0,0,0,0
NP_001291943.1 Rdt1p,0,0,1,0,0,1,0
NP_001291944.1 gag-pol fusion protein,0,1,1,1,1,0,0
NP_001297596.1 uncharacterized protein YCR041W,1,1,1,1,1,1,1
NP_001333723.1 uncharacterized protein YBL071C,0,1,0,1,1,1,1
NP_001333724.1 uncharacterized protein YBR027C,1,1,1,1,1,1,1
NP_001333725.1 uncharacterized protein YBR032W,0,1,0,1,1,0,0
NP_001335736.1 uncharacterized protein YHL041W,1,1,1,1,1,1,1
NP_001335737.1 uncharacterized protein YHL037C,0,0,0,1,1,0,1
NP_001335738.1 uncharacterized protein YHL005C,0,1,0,1,1,0,1
NP_001335739.1 Aht1p,1,0,1,1,1,1,1
NP_001335740.1 uncharacterized protein YHR125W,1,1,1,1,1,1,1
NP_001335741.1 uncharacterized protein YHR130C,1,1,1,1,1,1,1
NP_001335742.1 uncharacterized protein YHR139C-A,0,0,0,0,0,0,0
NP_001335743.1 uncharacterized protein YHR180W,1,1,0,1,1,1,1
NP_001335744.1 Rrt1p,1,1,1,1,1,1,1
NP_001335745.1 uncharacterized protein YBR144C,0,1,0,1,0,0,1
NP_001335746.1 uncharacterized protein YBR209W,1,0,1,0,1,1,1
NP_001335747.1 uncharacterized protein YBR292C,1,1,1,1,0,1,0
NP_001335748.1 uncharacterized protein YCR001W,1,1,1,1,1,1,1
NP_001335749.1 uncharacterized protein YCR006C,1,0,0,1,1,1,1
NP_001335750.1 uncharacterized protein YCR022C,0,0,0,0,0,1,1
NP_001335751.1 uncharacterized protein YCR025C,0,0,0,0,0,0,0
NP_001335752.1 uncharacterized protein YCR085W,1,1,1,1,1,1,1
NP_001335753.1 uncharacterized protein YDL242W,1,0,1,0,0,1,0
NP_001335754.1 uncharacterized protein YDR010C,1,1,0,0,1,0,0
NP_001335755.1 uncharacterized protein YDR029W,1,1,1,1,1,1,1
NP_001335756.1 uncharacterized protein YDR102C,1,1,1,1,1,1,1
NP_001335757.1 uncharacterized protein YDR157W,0,1,0,1,1,1,1
NP_001335758.1 uncharacterized protein YDR209C,1,1,1,1,1,0,1
NP_001335759.1 uncharacterized protein YDR215C,1,1,0,1,1,0,1
NP_001335760.1 uncharacterized protein YDR274C,1,1,0,1,1,1,1
NP_001335761.1 uncharacterized protein YDR278C,1,1,0,1,1,0,1
NP_001335762.1 uncharacterized protein YDR344C,1,0,0,1,0,1,1
NP_001335763.1 Api2p,0,0,1,0,0,1,0
NP_001335764.1 uncharacterized protein YEL028W,1,1,0,1,1,0,1
NP_001335765.1 uncharacterized protein YEL014C,0,1,0,1,1,0,1
NP_001335766.1 uncharacterized protein YEL009C-A,1,0,0,1,1,0,1
NP_001335767.1 uncharacterized protein YEL008W,1,1,0,1,1,1,1
NP_001335768.1 uncharacterized protein YER135C,1,1,1,1,1,1,1
NP_001335769.1 uncharacterized protein YER145C-A,1,1,1,1,1,1,1
NP_001335770.1 uncharacterized protein YER181C,1,1,1,1,1,1,1
